 Run 403115	 Raw lumi 35.8053	Cor lumi 0.785659	 QEDC-corr stat-err 0	 Av pol 0	 Pol err 0	 Pol run fraction 0
 Run 403117	 Raw lumi 13.2223	Cor lumi 0.57465	 QEDC-corr stat-err 0	 Av pol 0	 Pol err 0	 Pol run fraction 0
 Run 403123	 Raw lumi 82.0632	Cor lumi 76.5061	 QEDC-corr stat-err 0.0291235	 Av pol 0	 Pol err 0	 Pol run fraction 0
 Run 403125	 Raw lumi 67.3945	Cor lumi 11.5591	 QEDC-corr stat-err 0	 Av pol 0	 Pol err 0	 Pol run fraction 0
 Run 403137	 Raw lumi 5.08947	Cor lumi 3.95191	 QEDC-corr stat-err 0.117851	 Av pol 0	 Pol err 0	 Pol run fraction 0
 Run 403138	 Raw lumi 18.3852	Cor lumi 18.1049	 QEDC-corr stat-err 0.061199	 Av pol 0	 Pol err 0	 Pol run fraction 0
 Run 403139	 Raw lumi 27.831	Cor lumi 15.2395	 QEDC-corr stat-err 0	 Av pol 0	 Pol err 0	 Pol run fraction 0
 Run 403140	 Raw lumi 26.8471	Cor lumi 19.2436	 QEDC-corr stat-err 0.0593391	 Av pol 0	 Pol err 0	 Pol run fraction 0
 Run 403141	 Raw lumi 35.4639	Cor lumi 31.5955	 QEDC-corr stat-err 0.0452679	 Av pol 0	 Pol err 0	 Pol run fraction 0
 Run 403142	 Raw lumi 13.1482	Cor lumi 12.9477	 QEDC-corr stat-err 0.0764719	 Av pol 0	 Pol err 0	 Pol run fraction 0
 Run 403144	 Raw lumi 15.3831	Cor lumi 15.1486	 QEDC-corr stat-err 0.0644157	 Av pol 0	 Pol err 0	 Pol run fraction 0
 Run 403146	 Raw lumi 47.0953	Cor lumi 35.0623	 QEDC-corr stat-err 0.0440653	 Av pol 0	 Pol err 0	 Pol run fraction 0
 Run 403147	 Raw lumi 4.87584	Cor lumi 4.80151	 QEDC-corr stat-err 0.119523	 Av pol 0	 Pol err 0	 Pol run fraction 0
 Run 403153	 Raw lumi 0.319567	Cor lumi 0.314695	 QEDC-corr stat-err 0.316228	 Av pol 0	 Pol err 0	 Pol run fraction 0
