 Run 444623	 Raw lumi 2.13293	Cor lumi 1.82269	 QEDC-corr stat-err 0.213201	 Av pol 0	 Pol err 0	 Pol run fraction 0
 Run 444625	 Raw lumi 0.2714	Cor lumi 0.268087	 QEDC-corr stat-err 1827.69	 Av pol 0	 Pol err 0	 Pol run fraction 0
 Run 444737	 Raw lumi 0.38935	Cor lumi 0.380093	 QEDC-corr stat-err 0	 Av pol 0	 Pol err 0	 Pol run fraction 0
 Run 444738	 Raw lumi 2.49472	Cor lumi 2.4354	 QEDC-corr stat-err 0	 Av pol 0	 Pol err 0	 Pol run fraction 0
 Run 444741	 Raw lumi 0.881238	Cor lumi 0.860286	 QEDC-corr stat-err 0	 Av pol 0	 Pol err 0	 Pol run fraction 0
 Run 444742	 Raw lumi 0.623262	Cor lumi 0.608444	 QEDC-corr stat-err 0.333333	 Av pol 0	 Pol err 0	 Pol run fraction 0
 Run 444744	 Raw lumi 1.41081	Cor lumi 1.37727	 QEDC-corr stat-err 0.19245	 Av pol 0	 Pol err 0	 Pol run fraction 0
 Run 444745	 Raw lumi 9.44464	Cor lumi 9.22009	 QEDC-corr stat-err 2.28667	 Av pol 0	 Pol err 0	 Pol run fraction 0
 Run 444747	 Raw lumi 30.8126	Cor lumi 28.3009	 QEDC-corr stat-err 0.048795	 Av pol 0	 Pol err 0	 Pol run fraction 0
 Run 444748	 Raw lumi 27.1385	Cor lumi 26.4933	 QEDC-corr stat-err 1.62823	 Av pol 0	 Pol err 0	 Pol run fraction 0
 Run 444751	 Raw lumi 15.0363	Cor lumi 13.966	 QEDC-corr stat-err 0.0685189	 Av pol 0	 Pol err 0	 Pol run fraction 0
 Run 444753	 Raw lumi 11.4537	Cor lumi 11.1814	 QEDC-corr stat-err 0.071247	 Av pol 0	 Pol err 0	 Pol run fraction 0
 Run 444754	 Raw lumi 3.71475	Cor lumi 2.97552	 QEDC-corr stat-err 0.144338	 Av pol 0	 Pol err 0	 Pol run fraction 0
 Run 444755	 Raw lumi 0.513107	Cor lumi 0.500908	 QEDC-corr stat-err 0.408248	 Av pol 0	 Pol err 0	 Pol run fraction 0
 Run 444762	 Raw lumi 17.4937	Cor lumi 17.0777	 QEDC-corr stat-err 2.29497	 Av pol 0	 Pol err 0	 Pol run fraction 0
 Run 444763	 Raw lumi 7.46241	Cor lumi 7.28498	 QEDC-corr stat-err 0.1066	 Av pol 0	 Pol err 0	 Pol run fraction 0
 Run 444764	 Raw lumi 10.5844	Cor lumi 9.71884	 QEDC-corr stat-err 0.0798087	 Av pol 0	 Pol err 0	 Pol run fraction 0
 Run 444765	 Raw lumi 5.37209	Cor lumi 5.24437	 QEDC-corr stat-err 0.120386	 Av pol 0	 Pol err 0	 Pol run fraction 0
 Run 444766	 Raw lumi 1.27718	Cor lumi 1.24682	 QEDC-corr stat-err 0.25	 Av pol 0	 Pol err 0	 Pol run fraction 0
 Run 444767	 Raw lumi 5.35262	Cor lumi 5.22536	 QEDC-corr stat-err 0.109109	 Av pol 0	 Pol err 0	 Pol run fraction 0
 Run 444768	 Raw lumi 1.04889	Cor lumi 1.02396	 QEDC-corr stat-err 0.267261	 Av pol 0	 Pol err 0	 Pol run fraction 0
 Run 444769	 Raw lumi 0.97266	Cor lumi 0.949534	 QEDC-corr stat-err 0.267261	 Av pol 0	 Pol err 0	 Pol run fraction 0
